in-card__title,nd-figure__content,in-realEstateListCard__priceOnTop,nd-list
"Bilocale via Illirico 3, Città Studi, Milano",,€ 249.000,258m²1R
"Trilocale via Raimondo Franchetti 2, Repubblica, Milano",,€ 950.000,3110m²32
"Bilocale via Matteo Civitali 46, San Siro, Milano",,€ 250.000,268m²15
"Bilocale via Aristotile Fioravanti 36, Paolo Sarpi, Milano",,€ 579.000,284m²12
"Bilocale via Lodovico Pogliaghi 1, Giambellino, Milano",,€ 275.000,289m²1R
"Quadrilocale via Aristotile Fioravanti 36, Paolo Sarpi, Milano",,€ 1.117.000,4162m²22
"Bilocale via Carlo Poma 7, Indipendenza, Milano",,€ 370.000,240m²1R
"Bilocale via San Gregorio 3, Buenos Aires, Milano",,€ 480.000,267m²11
"Mansarda via San Bernardo 28, Quintosole - Chiaravalle, Milano",,€ 189.000,265m²1
"Quadrilocale via Mauro Macchi 50, Centrale, Milano",,€ 838.000,4156m²22
"Trilocale via Giovanni Battista Niccolini 32, Paolo Sarpi, Milano",,€ 780.000,3110m²12
"Trilocale via Gressoney 9, Martini - Insubria, Milano",,€ 500.000,3112m²13
"Trilocale via Evangelista Torricelli 21, Ascanio Sforza, Milano",,€ 390.000,360m²1T
"Bilocale piazza Napoli, Piazza Napoli, Milano",,€ 290.000,270m²13
"Bilocale via degli Astri 2, Lorenteggio, Milano",,€ 199.000,254m²1R
"Appartamento via Antonio Bronzino 14, Città Studi, Milano",,€ 1.170.000,5200m²32
"Trilocale viale Lunigiana, Centrale, Milano",,€ 299.000,370m²1R
"Bilocale via Garigliano 14, Isola, Milano",,€ 445.000,260m²11
"Trilocale via Ponte Seveso 23, Centrale, Milano",,€ 590.000,3110m²24
"Quadrilocale viale Tunisia 21, Porta Venezia, Milano",,€ 1.065.000,4127m²27
"Quadrilocale viale delle Rimembranze di Lambrate 2, Lambrate, Milano",,€ 570.000,4146m²25
"Trilocale viale Monte Nero 48, Montenero, Milano",,€ 520.000,375m²13
"Trilocale via Enrico Nöe 32, Città Studi, Milano",,€ 580.000,394m²1R
"Bilocale via delle Primule 9, Lorenteggio, Milano",,€ 210.000,240m²1S
"Mansarda via Sansovino, 15, Città Studi, Milano",,€ 690.000,3100m²22
"Trilocale via Remo la Valle 3, Giambellino, Milano",,€ 399.000,398m²26
"Bilocale via Armida Barelli 6, San Siro, Milano",,€ 219.000,245m²12
"Trilocale piazzale Loreto 5, Pasteur, Milano",,€ 540.000,390m²26
"Quadrilocale via Ruggero Bonghi 21, Pezzotti - Meda, Milano",,€ 449.000,4112m²13
"Bilocale piazza 24 Maggio 6, Ticinese, Milano",,€ 450.000,260m²12
"Appartamento all'asta via Ernesto Reinach 7, Milano",,"da € 127.500,00",315/11/202375m²
"Bilocale via Abbadesse 52, Zara, Milano",,€ 320.000,259m²12
"Loft via Bullona 12, Sempione, Milano",,€ 580.000,390m²1T
"Trilocale Galleria Buenos Aires 12, Morgagni, Milano",,€ 565.000,373m²1
"Trilocale via Piero della Francesca 13, Sempione, Milano",,€ 465.000,365m²12
"Quadrilocale via San Dionigi 1, Corvetto, Milano",,€ 315.000,4150m²32
"Trilocale via MAc Mahon 14, Cenisio, Milano",,€ 650.000,3100m²22
"Trilocale via Alfonso Cossa 19, Quartiere Forlanini, Milano",,€ 309.000,381m²12
"Quadrilocale piano terra, Turro, Milano",,€ 379.000,4195m²1T
"Bilocale via Ambrogio Binda, Barona, Milano",,€ 260.000,270m²12
"Appartamento piazza GIOVANNI PEREGO, Cenisio, Milano",,€ 2.950.000,5332m²3+3
"Bilocale via Generale Gustavo Fara 13, Centrale, Milano",,€ 445.000,272m²13
"Appartamento via Santa Sofia 12, Missori, Milano",,€ 990.000,5160m²32
"Monolocale via Angelo Inganni 11, Giambellino, Milano",,€ 180.000,152m²6
"Quadrilocale quarto piano, Palestro, Milano",,€ 1.390.000,4140m²34
"Quadrilocale via Filippo Carcano, Monte Rosa - Lotto, Milano",,€ 765.000,4140m²2R
"Bilocale via Alcuino 7, Sempione, Milano",,€ 425.000,260m²12
"Bilocale via degli Umiliati, Ponte Lambro, Milano",,€ 138.000,245m²1T
"Trilocale via Aristotele 67, Precotto, Milano",,€ 395.000,398m²21
"Appartamento via Giuseppe Vigoni 13, Ticinese, Milano",,€ 1.850.000,5200m²22
"Trilocale via Carlo Pisacane 36, Porta Venezia, Milano",,€ 1.245.000,3143m²21
"Trilocale corso Giuseppe Garibaldi, Moscova, Milano",,€ 1.100.000,3118m²22
"Quadrilocale corso Giuseppe Garibaldi, Moscova, Milano",,€ 1.260.000,4120m²23
"Bilocale corso Italia, Carrobbio, Milano",,€ 430.000,250m²13
"Bilocale via San Mamete 76, Quartiere Adriano, Milano",,€ 260.000,262m²1T
"Monolocale via Carlo Esterle 29, Parco Trotter, Milano",,€ 110.000,128m²16
"Trilocale via Comasina, Affori, Milano",,€ 368.000,3100m²23
"Bilocale buono stato, ammezzato, Niguarda, Milano",,€ 235.000,292m²1R
"Bilocale via Paolo Frisi, 9., Porta Venezia, Milano",,€ 435.000,259m²1T
"Quadrilocale viale Lazzaretto, Buenos Aires, Milano",,€ 1.002.000,4140m²25
"Trilocale via Savona, Solari, Milano",,€ 893.000,3120m²23
"Appartamento via Dei Grimani, Dezza, Milano",,€ 1.356.000,5160m²24
"Appartamento viale Tunisia, Repubblica, Milano",,€ 1.017.000,5140m²23
"Trilocale viale Romagna, Città Studi, Milano",,€ 816.000,3110m²23
"Trilocale via Carlo Poerio, Piave - Tricolore, Milano",,€ 803.000,390m²12
"Appartamento via Ponchielli, Buenos Aires, Milano",,€ 1.458.000,5200m²32
"Quadrilocale via Francesco Ferrucci, Sempione, Milano",,€ 1.382.000,4165m²22
"Quadrilocale via Domenico Cucchiari, Cenisio, Milano",,€ 921.000,4145m²24
"Appartamento via Francesco Filelfo, Sempione, Milano",,€ 1.725.000,5210m²37
"Trilocale via Antonio Baldissera, Morgagni, Milano",,€ 879.000,3100m²21
"Quadrilocale via Ludovico Zambeletti, Morgagni, Milano",,€ 1.243.000,4165m²35
"Trilocale buono stato, piano rialzato, Città Studi, Milano",,€ 590.000,3100m²1R
"Loft via Bullona 12, Sempione, Milano",,€ 1.220.000,4183m²2T
"Monolocale via Mecenate 84/8, Viale Ungheria - Mecenate, Milano",,€ 220.000,150m²13
