estate-price,estate-title,estate-subtitle,estate-rooms,estate-surface
â‚¬ 136.000,Ter. residenziale in vendita,"Abbiategrasso, Via Berra - Primavera",,1700 Mq
â‚¬ 257.000,Trilocale in vendita,"Abbiategrasso, Via A. Cigna - Primavera",3 locali,84 Mq
â‚¬ 229.000,Trilocale in vendita,"Abbiategrasso, Via Calderara",3 locali,113 Mq
â‚¬ 72.000,Ter. residenziale in vendita,"Abbiategrasso, Via Verbano - Castelletto Mendosio",,470 Mq
â‚¬ 715.000,Villa singola in vendita,"Abbiategrasso, Via Picasso - Boschetto",5 locali,200 Mq
â‚¬ 78.500,Ter. residenziale in vendita,"Abbiategrasso, Via Verbano - Castelletto Mendosio",,535 Mq
â‚¬ 157.000,Ter. residenziale in vendita,"Abbiategrasso, Via Verbano - Castelletto Mendosio",,1070 Mq
â‚¬ 165.000,Ter. residenziale in vendita,"Abbiategrasso, Via Cassolnovo - Primavera",,1100 Mq
â‚¬ 250.000,Quadrilocale in vendita,"Abbiategrasso, Via Francesco Giramo",4 locali,123 Mq
â‚¬ 148.000,Trilocale in vendita,"Abbiategrasso, Via Rosa Luxemburg - Primavera",3 locali,71 Mq
â‚¬ 300.000,Quadrilocale in vendita,"Abbiategrasso, Via Dei Mille - Primavera",4 locali,183 Mq
â‚¬ 279.000,Quadrilocale in vendita,"Abbiategrasso, Viale Giuseppe Mazzini",4 locali,150 Mq
â‚¬ 325.000,Casa semindipendente in vendita,"Abbiategrasso, Via Corsica",3 locali,225 Mq
â‚¬ 159.000,Bilocale in vendita,"Abbiategrasso, Via Alessandro Volta - Primavera",2 locali,79 Mq
â‚¬ 229.000,Trilocale in vendita,"Abbiategrasso, Via Calderara",3 locali,109 Mq
â‚¬ 180.000,Trilocale in vendita,"Albairate, Via Donatori di Sangue",3 locali,93 Mq
â‚¬ 230.000,Trilocale in vendita,"Albairate, Via Francesco Baracca",3 locali,90 Mq
â‚¬ 350.000,Villa singola in vendita,"Albairate, Via Santa Maria",3 locali,191 Mq
â‚¬ 190.000,Trilocale in vendita,"Albairate, Via Cascina Riazzolo - Cascina Riazzolo",3 locali,110 Mq
â‚¬ 129.000,Bilocale in vendita,"Albairate, Via Donatori di Sangue",2 locali,72 Mq
â‚¬ 210.000,Quadrilocale in vendita,"Albairate, Strada per Riazzolo - Cascina Riazzolo",3 locali,85 Mq
â‚¬ 165.000,Trilocale in vendita,"Albairate, Via Luigi Cadorna",3 locali,85 Mq
â‚¬ 179.000,Trilocale in vendita,"Albairate, Via Bistorina",3 locali,92 Mq
â‚¬ 30.000,Box / posti auto in vendita,"Arconate, Via XXIV Maggio",1 locale,90 Mq
â‚¬ 130.000,Trilocale in vendita,"Arconate, Via XXIV Maggio",3 locali,122 Mq
â‚¬ 102.000,Trilocale in vendita,"Arconate, Via XXIV Maggio",3 locali,116 Mq
â‚¬ 95.000,Trilocale in vendita,"Arconate, Via XXIV Maggio",3 locali,104 Mq
â‚¬ 135.000,Trilocale in vendita,"Arconate, Via Corso Italia",3 locali,95 Mq
â‚¬ 200.000,Casa indipendente in vendita,"Arconate, Via Piave",15 locali,600 Mq
â‚¬ 145.400,Trilocale in vendita,"Arconate, Via mameli",3 locali,86 Mq
â‚¬ 153.650,Trilocale in vendita,"Arconate, Via Goffredo Mameli",3 locali,96 Mq
â‚¬ 75.000,Trilocale in vendita,"Arconate, Via Roma",3 locali,80 Mq
â‚¬ 395.000,Villa singola in vendita,"Arconate, Vicolo della Fratellanza",4 locali,213 Mq
â‚¬ 194.900,Trilocale in vendita,"Arconate, Via Goffredo Mameli",3 locali,116 Mq
â‚¬ 112.400,Bilocale in vendita,"Arconate, Via Goffredo Mameli",2 locali,67 Mq
â‚¬ 152.000,Trilocale in vendita,"Arconate, Via Goffredo Mameli",3 locali,90 Mq
â‚¬ 142.100,Trilocale in vendita,"Arconate, Via Goffredo Mameli",3 locali,85 Mq
â‚¬ 140.450,Trilocale in vendita,"Arconate, Via Goffredo Mameli",3 locali,83 Mq
â‚¬ 375.000,Quadrilocale in vendita,"Arese, Via Monte Resegone",4 locali,150 Mq
â‚¬ 590.000,Villa singola in vendita,"Arese, Via Monte Resegone",5 locali,220 Mq
â‚¬ 158.000,Quadrilocale in vendita,"Arese, Via Caduti",4 locali,141 Mq
â‚¬ 108.000,Bilocale in vendita,"Arese, Via Caduti",2 locali,66 Mq
â‚¬ 39.000,Casa indipendente in vendita,"Arese, Via Sant'Anna",1 locale,35 Mq
â‚¬ 348.000,Casa indipendente in vendita,"Arese, Via Giannetto Mattei",3 locali,190 Mq
â‚¬ 190.000,Trilocale in vendita,"Arese, Via Achille Varzi",3 locali,90 Mq
â‚¬ 210.000,Bilocale in vendita,"Arese, Via IV Novembre",2 locali,65 Mq
â‚¬ 348.000,Quadrilocale in vendita,"Arese, Via Degli Orti",4 locali,160 Mq
â‚¬ 130.000,Trilocale in vendita,"Arluno, Via San Francesco D'assisi",3 locali,74 Mq
â‚¬ 260.000,Trilocale in vendita,"Arluno, Via Rovereto",3 locali,109 Mq
â‚¬ 129.000,Bilocale in vendita,"Arluno, Via Giuseppe Mazzini",2 locali,66 Mq
â‚¬ 145.000,Trilocale in vendita,"Arluno, Via Gioacchino Rossini",3 locali,99 Mq
â‚¬ 470.000,Villa singola in vendita,"Arluno, Via Roma",6 locali,228 Mq
â‚¬ 220.000,Quadrilocale in vendita,"Arluno, Via G. Mazzali",4 locali,150 Mq
â‚¬ 250.000,Quadrilocale in vendita,"Arluno, Via olof palme",4 locali,110 Mq
â‚¬ 480.000,Trilocale in vendita,"Assago, Via Bazzana Inferiore",3 locali,122 Mq
â‚¬ 160.000,Ter. residenziale in vendita,"Baranzate, terreno mercantesse",,1120 Mq
â‚¬ 194.000,Trilocale in vendita,"Baranzate, Via milano",3 locali,104 Mq
â‚¬ 165.000,Trilocale in vendita,"Baranzate, Via Palmanova",3 locali,96 Mq
â‚¬ 75.000,Bilocale in vendita,"Bareggio, Via Varese",2 locali,70 Mq
â‚¬ 150.000,Trilocale in vendita,"Bareggio, Via Giulio Cesare",3 locali,85 Mq
â‚¬ 145.000,Trilocale in vendita,"Bareggio, Via Madonna Pellegrina",3 locali,110 Mq
â‚¬ 98.000,Bilocale in vendita,"Bareggio, Via Varese",2 locali,80 Mq
â‚¬ 198.000,Trilocale in vendita,"Bareggio, Via Don Villa",3 locali,120 Mq
â‚¬ 110.000,Trilocale in vendita,"Bareggio, Via Campo Sportivo",3 locali,80 Mq
â‚¬ 398.000,Porzione di bifamiliare in vendita,"Bareggio, Via Monte Grappa",4 locali,170 Mq
â‚¬ 170.000,Trilocale in vendita,"Bareggio, Via Alessandro Manzoni",3 locali,110 Mq
â‚¬ 140.000,Trilocale in vendita,"Bareggio, Via Manzoni",3 locali,90 Mq
